Barcode 	 Correct reads 	 Corrected reads
A04C14B78D83N502	1	0
A04C15B08D81N502	0	1
A04C16B96D20N502	1	0
A04C17B01D05N502	1	0
A04C17B24D94N502	1	0
A04C17B27D91N502	1	0
A04C17B29D84N502	1	0
A04C18B19D15N501	1	0
A04C18B31D85N502	1	0
A04C18B32D38N501	1	0
A04C18B58D25N502	1	0
A04C19B34D83N502	1	0
A04C19B73D62N501	1	0
A04C20B59D52N501	1	0
A04C20B93D87N501	1	0
A04C21B12D80N502	1	0
A04C21B62D32N502	1	0
A04C21B82D69N502	1	0
A04C21B82D89N502	1	0
A04C23B24D27N502	1	0
A04C23B39D43N502	1	0
A04C23B41D05N502	1	0
A04C23B55D61N501	1	0
A04C23B56D62N502	1	0
A04C25B23D33N502	1	0
A04C25B34D76N502	1	0
A04C25B48D15N502	1	0
A04C26B07D76N502	1	0
A04C26B13D37N502	1	0
A04C26B30D51N502	0	1
A04C26B38D77N502	1	0
A04C26B72D54N502	1	0
A04C26B73D58N502	1	0
A04C26B82D11N501	1	0
A04C26B86D54N502	1	0
A04C26B86D80N502	1	0
A04C27B07D35N502	1	0
A04C27B27D61N502	0	1
A04C27B56D75N502	1	0
A04C27B61D07N502	1	0
A04C27B81D21N502	1	0
A04C27B82D74N502	1	0
A04C27B86D74N502	1	0
A04C28B17D17N502	1	0
A04C28B18D96N502	1	0
A04C28B92D63N502	1	0
A04C29B14D05N502	1	0
A04C29B17D28N502	1	0
A04C29B17D58N502	1	0
A04C29B31D69N502	1	0
A04C29B36D01N502	1	0
A04C29B37D37N502	1	0
A04C29B37D82N502	1	0
A04C29B45D45N501	1	0
A04C29B57D33N502	0	1
A04C29B59D64N501	1	0
A04C29B70D03N502	1	0
A04C29B84D17N501	1	0
A04C29B93D31N501	1	0
A04C30B41D21N502	2	0
A04C30B55D65N502	1	0
A04C30B67D54N502	1	0
A04C31B30D82N502	1	0
A04C31B31D90N502	1	0
A04C31B37D22N502	1	0
A04C31B61D73N502	1	0
A04C31B63D90N502	1	0
A04C31B78D02N502	1	0
A04C33B39D69N502	1	0
A04C33B55D09N502	1	0
A04C33B82D37N502	1	0
A04C33B96D43N502	0	1
A04C34B05D62N501	1	0
A04C34B14D94N502	1	0
A04C34B19D50N502	1	0
A04C34B36D15N502	1	0
A04C34B47D56N501	1	0
A04C34B86D51N501	1	0
A04C35B40D10N501	1	0
A04C35B82D81N501	1	0
A04C35B93D22N502	1	0
A04C36B23D68N502	1	0
A04C36B37D65N502	1	0
A04C36B50D27N502	1	0
A04C36B65D04N502	1	0
A04C36B66D49N502	1	0
A04C36B77D23N502	0	1
A04C36B88D74N502	1	0
A04C36B88D91N502	1	0
A04C36B88D94N502	1	0
A04C36B93D35N502	1	0
A04C37B31D73N501	1	0
A04C37B34D85N502	1	0
A04C37B90D31N501	1	0
A04C37B90D94N501	1	0
A04C37B92D64N502	1	0
A04C38B07D08N502	1	0
A04C38B64D59N501	1	0
A04C38B84D80N502	1	0
A04C38B91D73N502	1	0
A04C39B27D67N502	1	0
A04C40B33D59N502	1	0
A04C41B27D52N502	1	0
A04C41B60D48N501	1	0
A04C41B87D81N501	1	0
A04C41B88D81N502	1	0
A04C42B25D82N502	1	0
A04C42B31D34N502	1	0
A04C43B26D21N502	0	1
A04C44B05D75N502	1	0
A04C44B13D68N502	1	0
A04C44B16D49N502	1	0
A04C44B52D02N501	1	0
A04C44B62D41N502	1	0
A04C44B64D20N502	1	0
A04C44B74D82N502	1	0
A04C45B21D62N502	1	0
A04C45B25D59N501	1	0
A04C45B40D42N501	0	1
A04C45B40D48N502	1	0
A04C45B93D49N501	1	0
A04C48B37D94N501	1	0
A04C49B18D71N501	1	0
A04C49B20D56N501	1	0
A04C50B89D63N502	1	0
A04C50B96D53N501	1	0
A04C51B11D83N501	1	0
A04C51B39D16N502	1	0
A04C51B83D46N501	1	0
A04C52B21D93P999	1	0
A04C53B37D79N502	1	0
A04C54B27D14N502	1	0
A04C54B33D42N501	1	0
A04C54B62D57N502	1	0
A04C54B78D02N501	1	0
A04C55B06D33N502	1	0
A04C55B39D45N501	1	0
A04C55B67D84N501	1	0
A04C57B40D82N501	1	0
A04C57B54D70N502	1	0
A04C57B56D39N502	1	0
A04C57B84D62N501	1	0
